tau,metric,rank,model,mean,std
0.5,losses,1,SQR,0.03278551235868266,0.023446313877122066
0.5,losses,2,DecisionTree,0.038717231554632775,0.0172538611073121
0.5,losses,3,LightGBM,0.04209062268989659,0.02173313628271679
0.5,losses,4,LinearQuantile,0.0579678480332801,0.029411036693953303
0.5,coverage,1,LightGBM,0.05873111184846101,0.062021690948374626
0.5,coverage,2,LinearQuantile,0.05901136699197744,0.07364251196750918
0.5,coverage,3,SQR,0.08154461382473206,0.08622870773370048
0.5,coverage,4,DecisionTree,0.08361685436647862,0.0999127504922235
0.5,time_all,1,LightGBM,0.6037114500999451,1.0521136694439008
0.5,time_all,2,DecisionTree,7.8567139482498165,47.33363453282346
0.5,time_all,3,LinearQuantile,71.27909372886022,495.95899515230195
0.5,time_all,4,SQR,165.85532858252526,170.78455287784644
0.6,losses,1,SQR,0.03172336695930462,0.022169050373650794
0.6,losses,2,DecisionTree,0.03813420474748073,0.017315705636890864
0.6,losses,3,LightGBM,0.04378310586647397,0.029527991200925693
0.6,losses,4,LinearQuantile,0.05897828194433145,0.03238431556407339
0.6,coverage,1,LightGBM,0.06200279487037085,0.07057591774454572
0.6,coverage,2,SQR,0.07916904543188731,0.08032235702548317
0.6,coverage,3,DecisionTree,0.08267401642034554,0.08226639638874671
0.6,coverage,4,LinearQuantile,0.10689383735455303,0.08297392827434649
0.6,time_all,1,LightGBM,0.6121397066517037,1.1255573287846754
0.6,time_all,2,DecisionTree,7.842902078147696,47.136741159583096
0.6,time_all,3,LinearQuantile,26.66323505489766,128.7434282109881
0.6,time_all,4,SQR,164.83566730082535,169.50813001481785
0.7,losses,1,SQR,0.029592720808472254,0.0224148653058807
0.7,losses,2,DecisionTree,0.03527633231537956,0.016282912677163454
0.7,losses,3,LightGBM,0.04187925998716632,0.027760932117458666
0.7,losses,4,LinearQuantile,0.05843756905759011,0.03577495090224534
0.7,coverage,1,LightGBM,0.059983856742797305,0.06683603290405848
0.7,coverage,2,SQR,0.0733025931347885,0.07752256373911673
0.7,coverage,3,DecisionTree,0.08725036919784462,0.06889352494551401
0.7,coverage,4,LinearQuantile,0.1623398431630198,0.11754244962588617
0.7,time_all,1,LightGBM,0.6060540660222371,1.1075901402578114
0.7,time_all,2,DecisionTree,7.759449399709702,46.9190063758071
0.7,time_all,3,LinearQuantile,28.914503302176794,150.90611076288448
0.7,time_all,4,SQR,165.3215878935655,166.5203353283935
0.8,losses,1,SQR,0.02720721311383439,0.06303072840010239
0.8,losses,2,DecisionTree,0.029494781334998603,0.013843730366145795
0.8,losses,3,LightGBM,0.036403177243620896,0.02211262316044089
0.8,losses,4,LinearQuantile,0.05642620606389987,0.038815391152753426
0.8,coverage,1,LightGBM,0.056286201561100445,0.055698773833324534
0.8,coverage,2,SQR,0.06730247070198413,0.07586027627505856
0.8,coverage,3,DecisionTree,0.08355903106121107,0.06314172355523241
0.8,coverage,4,LinearQuantile,0.21842395755741792,0.15795953493845394
0.8,time_all,1,LightGBM,0.568039538860321,1.0838818614396746
0.8,time_all,2,DecisionTree,8.111070018212,48.43652683885119
0.8,time_all,3,LinearQuantile,28.327440659602484,143.6429615601482
0.8,time_all,4,SQR,165.80461695273718,167.06566499141562
0.9,losses,1,DecisionTree,0.01962189974937519,0.009453264893779206
0.9,losses,2,LightGBM,0.024369434137561603,0.012036389147247152
0.9,losses,3,LinearQuantile,0.0520246225140802,0.043581467073442744
0.9,losses,4,SQR,inf,
0.9,coverage,1,LightGBM,0.038268630575023055,0.0372848019144172
0.9,coverage,2,SQR,0.05989308593411497,0.0752474455497785
0.9,coverage,3,DecisionTree,0.06395994136396782,0.057168334099664125
0.9,coverage,4,LinearQuantile,0.2727187300658863,0.21091921020649076
0.9,time_all,1,LightGBM,0.5328735832373301,1.073291123158003
0.9,time_all,2,DecisionTree,7.804576502243678,46.91150981537461
0.9,time_all,3,LinearQuantile,46.197629137039186,326.5007028514927
0.9,time_all,4,SQR,166.14197996576627,168.74983837797708
